StudentId,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,IsDropout,MaritalStatusLabel,ApplicationModeLabel,CourseLabel,PreviousQualificationLabel,Daytime_evening_attendanceLabel,DisplacedLabel,Educational_special_needsLabel,DebtorLabel,Tuition_fees_up_to_dateLabel,GenderLabel,Scholarship_holderLabel,InternationalLabel,ApplicationChoiceGroup,AgeGroup,AdmissionGradeBand,FirstSemApprovalRate,FirstSemApprovalBand,FirstSemGradeBand,Tuition_fees_up_to_date_label,Scholarship_holder_label,Debtor_label,Daytime_evening_attendance_label,First_sem_approval_band,Age_group,Course_label
11,1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,0,Single,1st phase - general,Advertising and Marketing Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9670
12,1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,<120,0.875,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
13,1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,1,Single,1st phase - general,Basic Education,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,<=20,9853
14,1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,0,Single,Short cycle diploma,Tourism,Professional higher technical,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,<120,1.0,80-100%,Below 12,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9254
15,1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0,Single,1st phase - general,Veterinary Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.8,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,50-79%,<=20,9085
16,1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,1,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.8333333333333334,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9773
17,1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0,Single,3rd phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.1666666666666666,1-<50%,12-<14,Up to date,No scholarship,Not debtor,Daytime,Below 50%,<=20,9238
18,1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,0,Single,2nd phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
19,1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0,Single,1st phase - general,Equinculture,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.8,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9130
20,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0,Single,1st phase - general,Basic Education,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.8571428571428571,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9853
21,1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,0,Single,1st phase - general,Animation and Multimedia Design,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,4th-6th choice,21-24,120-<140,,No units enrolled,No recorded grade,Up to date,Scholarship,Not debtor,Daytime,No enrolled units,21-24,171
22,1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,0,Single,3rd phase - general,Oral Hygiene,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,4th-6th choice,17-20,120-<140,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9556
23,1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,4th-6th choice,17-20,120-<140,0.875,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
24,1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,0,Single,1st phase - general,Advertising and Marketing Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,4th-6th choice,17-20,<120,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9670
25,1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.8571428571428571,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
26,1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0,Single,1st phase - general,Social Service,Secondary education,Daytime,Yes,No,Yes,Up to date,Female,Yes,No,2nd-3rd choice,17-20,140-<160,0.8333333333333334,80-100%,Below 12,Up to date,Scholarship,Debtor,Daytime,80-100%,<=20,9238
27,1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,0,Single,2nd phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,21-24,<120,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9238
28,1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,0,Single,1st phase - general,Veterinary Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9085
29,1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,0,Single,1st phase - general,Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9147
30,1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,0,Single,2nd phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,<120,0.8571428571428571,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
31,1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,0,Single,Technological specialization,Agronomy,Technological specialization,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,21-24,140-<160,0.8333333333333334,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9003
32,1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,0,Single,Change institution/course,Communication Design,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9070
33,1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0,Single,1st phase - general,Management,Secondary education,Daytime,No,No,No,Not up to date,Male,No,No,2nd-3rd choice,17-20,120-<140,0.6,50-<80%,Below 12,Not up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9147
34,1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,0,Single,3rd phase - general,Social Service (evening),Secondary education,Evening,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Evening,80-100%,<=20,8014
35,1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,0,Single,1st phase - general,Management (evening),Secondary education,Evening,No,No,No,Up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Evening,80-100%,25-34,9991
36,1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,1,Single,Over 23 years old,Biofuel Production Technologies,Secondary education,Daytime,No,No,Yes,Not up to date,Male,No,No,2nd-3rd choice,35+,<120,0.0,0%,No recorded grade,Not up to date,No scholarship,Debtor,Daytime,No approved units,35+,33
37,1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,1,Single,Over 23 years old,Informatics Engineering,11th year not completed,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,35+,120-<140,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,35+,9119
38,1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,1,Single,Change of course,Management,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,35+,120-<140,0.2,1-<50%,Below 12,Up to date,No scholarship,Not debtor,Daytime,Below 50%,35+,9147
39,4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,0,Divorced,Over 23 years old,Management (evening),Secondary education,Evening,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,35+,<120,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Evening,80-100%,35+,9991
40,1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,1,Single,Technological specialization,Equinculture,Technological specialization,Daytime,No,No,Yes,Not up to date,Female,No,Yes,2nd-3rd choice,17-20,120-<140,0.5,50-<80%,Below 12,Not up to date,No scholarship,Debtor,Daytime,Below 50%,<=20,9130
41,1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,1,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,No,No,Yes,Up to date,Female,No,No,4th-6th choice,17-20,120-<140,0.6666666666666666,50-<80%,12-<14,Up to date,No scholarship,Debtor,Daytime,50-79%,<=20,9773
42,1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,0,Single,1st phase - general,Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,21-24,120-<140,1.0,80-100%,14-<16,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9147
43,1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,Yes,No,Up to date,Female,No,No,7th-10th choice,21-24,<120,0.7142857142857143,50-<80%,12-<14,Up to date,No scholarship,Not debtor,Daytime,50-79%,21-24,9500
44,1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,1,Single,2nd phase - general,Journalism and Communication,Secondary education,Daytime,No,No,No,Not up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.6666666666666666,50-<80%,12-<14,Not up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9773
45,1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,1,Single,Over 23 years old,Management (evening),Secondary education,Evening,No,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,<120,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Evening,No approved units,25-34,9991
46,1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,0,Single,2nd phase - general,Management (evening),Secondary education,Evening,No,No,No,Up to date,Female,No,No,2nd-3rd choice,21-24,120-<140,0.4,1-<50%,Below 12,Up to date,No scholarship,Not debtor,Evening,Below 50%,21-24,9991
47,1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0,Single,2nd phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9238
48,1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,0,Single,2nd phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,7th-10th choice,21-24,120-<140,0.8571428571428571,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9500
49,1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,0,Single,Technological specialization,Social Service (evening),Technological specialization,Evening,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,120-<140,1.0,80-100%,Below 12,Up to date,Scholarship,Not debtor,Evening,80-100%,21-24,8014
50,1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,0,Single,1st phase - general,Social Service,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.8333333333333334,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9238
51,1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,0,Single,Over 23 years old,Tourism,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,<120,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9254
52,1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.75,50-<80%,Below 12,Up to date,Scholarship,Not debtor,Daytime,50-79%,<=20,9500
53,1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.6666666666666666,50-<80%,14-<16,Up to date,Scholarship,Not debtor,Daytime,50-79%,<=20,9773
54,1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,0,Single,1st phase - general,Equinculture,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,4th-6th choice,17-20,140-<160,1.0,80-100%,14-<16,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9130
55,1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,1,Single,Over 23 years old,Management (evening),Secondary education,Evening,No,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,120-<140,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Evening,80-100%,25-34,9991
56,1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
57,2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,1,Married,Other higher course holders,Tourism,Degree,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,35+,120-<140,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,35+,9254
58,1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,1,Single,Over 23 years old,Equinculture,Degree first cycle,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,140-<160,0.8333333333333334,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,25-34,9130
